图书目录,,,,,,,,
序号,学科方向,书名,课程级别,作者, 定价 ,书号,出版日期,出版单位
89,人工智能,人工智能与未来营销（理论与案例）（21世纪经济管理新形态教材·营销学系列）,初级,邓士昌、谢佩洪, 49.00 ,9787302640783 ,2023/8/1,人民邮电出版社
90,人工智能,机器学习与智能感知（高等学校智能科学与技术/人工智能专业教材）,初级,张宝昌、黄雷、丁嵘、王田, 49.80 ,9787302641704 ,2023/9/1,人民邮电出版社
91,人工智能,计算机视觉实践（第2版）（高等学校智能科学与技术/人工智能专业教材）,初级,李轩涯、曹焯然、计湘婷, 59.00 ,9787302641773 ,2023/12/1,人民邮电出版社
92,网络安全,网络安全技术标准教程(实战微课版)（清华电脑学堂）,初级,钱慎一、徐明明, 69.80 ,9787302643319 ,2023/9/1,人民邮电出版社
93,网络安全,信息安全基础（第2版）（21世纪高等学校网络空间安全专业系列教材）,初级,胡卫、李拴保、秦艳琳、杨智超, 59.00 ,9787302643494 ,2023/10/1,清华大学出版社
94,人工智能,人工智能技术及应用（21世纪经济管理新形态教材·管理科学与工程系列）,初级,龙草芳、肖衡、梁志勇、汪泽宇、江荣旺、魏, 49.80 ,9787302645283 ,2023/10/1,人民邮电出版社
95,网络安全,信息安全原理与实践（第3版）（网络空间安全丛书）,初级,[美] 马克·斯坦普（Mark Stamp）著 冯娟, 99.80 ,9787302645351 ,2023/10/1,人民邮电出版社
96,网络安全,零信任计划（网络空间安全丛书）,中级,[美] 乔治·芬尼（George Finney）著 贾玉, 59.80 ,9787302648710 ,2024/1/1,人民邮电出版社
97,人工智能,人工智能编程（赋能C语言）（全国高等学校计算机教育研究会“十四五”系列教材）,中级,黄箐、廖云燕、曾锦山、邢振昌, 46.00 ,9787302648796 ,2023/11/1,人民邮电出版社
98,人工智能,机器学习实践（第2版）（ 高等学校智能科学与技术/人工智能专业教材）,初级,李轩涯、计湘婷、曹焯然, 59.00 ,9787302649205 ,2023/12/1,清华大学出版社
99,人工智能,自然语言处理实践（第2版）（ 高等学校智能科学与技术/人工智能专业教材）,中级,李轩涯、曹焯然、计湘婷, 59.00 ,9787302649212 ,2023/12/1,中国铁道出版社
100,人工智能,Python深度元学习算法（ 高等学校智能科学与技术/人工智能专业教材）,初级,王茂发，陈慧灵，徐艳琳，龚启舟，冷志雄，, 59.50 ,9787302649519 ,2023/12/1,人民邮电出版社
101,网络安全,信息安全管理（高等学校网络空间安全专业系列教材）,初级,严承华、陈璐、周大伟、刘鹏、李强、熊俊芬, 56.00 ,9787302650089 ,2024/2/1,人民邮电出版社
102,网络安全,现代密码学概论（第2版）（高等学校网络空间安全专业系列教材）,中级,潘森杉、仲红、潘恒、王良民, 49.00 ,9787302651499 ,2023/12/1,人民邮电出版社
103,网络安全,网络安全运维基础,初级,吴俊辉、张哲豫、贺养养、何敏, 69.00 ,9787302651635 ,2024/1/1,人民邮电出版社
104,人工智能,人工智能基础：算法与编程（面向新工科专业建设计算机系列教材）,中级,王洪元、张继, 59.00 ,9787302652076 ,2024/2/1,人民邮电出版社
105,网络安全,网络安全与管理（微课视频版）（21世纪高等学校网络空间安全专业系列教材）,初级,王爱新、刘兴龙、王雷, 59.80 ,9787302652533 ,2024/3/1,人民邮电出版社
106,网络安全,应用密码学（第3版）（21世纪高等学校网络空间安全专业系列教材）,店销书,刘嘉勇、赵亮、杨进、李莉, 69.00 ,9787302653363 ,2024/2/1,人民邮电出版社
107,网络安全,密码学中的可证明安全性（第2版）（网络空间安全学科系列教材）,初级,杨波、杨启良, 49.90 ,9787302655626 ,2024/2/1,人民邮电出版社
108,网络安全,移动通信网络安全实验教程（网络空间安全学科系列教材）,中级,孙钰、刘建伟、孙茜、武广智、田霖, 49.00 ,9787302657767 ,2024/5/1,人民邮电出版社
109,网络安全,智慧城市网络安全顶层设计及实践,中级,孙松儿, 69.00 ,9787302658139 ,2024/6/1,人民邮电出版社
110,网络安全,物联网安全——理论与技术（网络空间安全学科系列教材）,初级,毛剑、刘建伟、刘文懋、关振宇, 49.00 ,9787302659105 ,2024/4/1,人民邮电出版社
111,网络安全,网络安全技术(微课视频版)（21世纪高等学校网络空间安全专业系列教材）,初级,李爱华 张文波 周越, 39.00 ,9787302659495 ,2024/5/1,中国铁道出版社
112,人工智能,人工智能应用的数学基础（微课版）（面向新工科专业建设计算机系列教材）,初级,刘帅 付维娜 代建华  , 69.00 ,9787302660347 ,2024/5/1,人民邮电出版社
113,网络安全,分组密码设计与评估（网络空间安全学科系列教材）,初级,李艳俊 吴文玲 项勇 霍珊珊 刘健, 49.00 ,9787302660385 ,2024/5/1,人民邮电出版社
114,网络安全,网络安全设计与运营（高等学校网络空间安全专业系列教材）,初级,王宇、熊达鹏、钱克昌, 49.00 ,9787302660392 ,2024/5/1,清华大学出版社
115,网络安全,网络空间安全真相：破除流传已久的行业谬误与偏见（网络空间安全丛书）,初级,[美] 尤金·H. 斯帕福德（Eugene H. Spaffo, 98.00 ,9787302660934 ,2024/6/1,人民邮电出版社
116,网络安全,信息安全导论（第2版）（高等学校网络空间安全专业系列教材）,中级,朱建明、杨力、高胜, 69.00 ,9787302661023 ,2024/5/1,中国铁道出版社
117,人工智能,人工智能案例与实验（高等学校计算机专业系列教材）,初级,徐义春, 39.00 ,9787302661238 ,2024/5/1,人民邮电出版社
118,人工智能,数值计算方法——人工智能、大数据分析的数学基础（普通高校本科计算机专业特色教材·计算机基础）,初级,姚普选、许颖, 59.00 ,9787302661740 ,2024/6/1,清华大学出版社
119,网络安全,计算机网络安全——基于对抗视角的网络安全攻防（微课视频版）（国家级实验教学示范中心联席会计算机学科组规划教材）,初级,周庆、胡月, 44.90 ,9787302662075 ,2024/7/1,中国铁道出版社
120,人工智能,智能机器人原理与应用（高等学校智能科学与技术/人工智能专业教材）,初级,陈雯柏、刘学君、吴培良, 66.00 ,9787302663188 ,2024/6/1,清华大学出版社
121,人工智能,Linux操作系统基础——面向人工智能和大数据（微课版）（面向新工科专业建设计算机系列教材）,初级,曹洁，张志锋，冯柳, 59.00 ,9787302663775 ,2024/5/1,中国铁道出版社
122,人工智能,人工智能通识教程（第2版·微课版）（21世纪人工智能创新与应用丛书）,中级,周苏，杨武剑, 66.00 ,9787302665762 ,2024/7/1,清华大学出版社
123,人工智能,艾博士：深入浅出人工智能（公共课版·微课版）,中级,马少平, 59.00 ,9787302666509 ,2024/7/1,清华大学出版社
124,人工智能,人工智能边缘设备应用 (微课视频版)（21世纪高等学校计算机应用技术系列教材）,中级,盛建强  孟思明  王振宇  江跃龙  陈泽宁, 49.80 ,9787302667469 ,2024/8/1,清华大学出版社
125,网络安全,网络安全实用技术（第4版·慕课版·项目驱动·新形态）（新时代高等学校计算机类专业教材）,店销书,贾铁军、罗宜元、刘巧红、王坚、宋少婷, 69.00 ,9787302669531 ,2024/8/1,清华大学出版社
126,网络安全,网络空间安全导论,初级,周伟、于子洋、滕鑫鹏、王大东、孙宏宇、谭, 49.80 ,9787302670322 ,2024/8/1,人民邮电出版社
127,人工智能,大学生人工智能素养（面向数字化时代高等学校计算机系列教材）,初级,杨俊杰  刘勇  张立敏  陈永恒  卢利琼  闵, 59.80 ,9787302671138 ,2024/8/1,清华大学出版社
128,人工智能,人工智能与模式识别（面向新工科的电工电子信息基础课程系列教材）,初级,陈浩、杜春、李沛秦、熊伟 , 65.00 ,9787302672609 ,2024/9/1,清华大学出版社
129,人工智能,现代智能信息处理（高等学校智能科学与技术/人工智能专业教材）,初级,王玉皞，余礼苏，刘且根，徐子晨, 66.00 ,9787302672845 ,2024/9/1,清华大学出版社
130,人工智能,人工智能实验教程,店销书,焦李成、田小林、侯彪、李阳阳、马文萍、孙, 59.00 ,9787302673934 ,2024/10/1,清华大学出版社
131,人工智能,人工智能编程（赋能Python语言）（全国高等学校计算机教育研究会“十四五”系列教材）,初级,廖云燕、曾锦山、黄箐、邢振昌, 54.50 ,9787302675105 ,2024/12/1,人民邮电出版社
132,人工智能,人工智能技术与行业应用（应用型高校产教融合系列教材·大电类专业系列）,中级,李媛媛、万卫兵、张红兵、杨红军, 59.00 ,9787302675808 ,2024/11/1,清华大学出版社
133,人工智能,人工智能基础（智能制造系列教材）,初级,赵海燕、吴潮潮、朱道也, 49.00 ,9787302676355 ,2024/12/1,人民邮电出版社
134,网络安全,网络安全——理论与技术（微课版）（网络空间安全学科系列教材）,初级,刘建伟、王育民, 79.90 ,9787302676935 ,2024/12/1,清华大学出版社
135,网络安全,移动安全（网络空间安全学科系列教材）,中级,杨珉、杨哲慜、张源, 49.00 ,9787302676942 ,2024/12/1,清华大学出版社
